goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkValuesVsPointers/size=10-10         	  591600	       186.2 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  749608	       163.9 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  774651	       163.8 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  803347	       164.7 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  784698	       163.0 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  757774	       163.6 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   94941	      1282 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   92202	      1275 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   96349	      1275 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   92010	      1274 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   92545	      1288 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   94484	      1284 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10571 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10687 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10704 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10663 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10726 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10684 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1407	     77915 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1491	     76002 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1566	     73420 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1576	     76586 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1510	     76599 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1567	     76177 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     169	    694108 ns/op	14401537 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     177	    669669 ns/op	14401536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     177	    674816 ns/op	14401536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     178	    665342 ns/op	14401537 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     178	    674022 ns/op	14401536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     178	    663394 ns/op	14401565 B/op	       1 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	3.720s
