goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkValuesVsPointers/size=10-10         	  666385	       178.7 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  691857	       169.5 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  725678	       170.1 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  686236	       169.4 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  739845	       170.2 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10-10         	  733588	       171.4 ns/op	    1536 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   95196	      1283 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   92942	      1286 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   95718	      1284 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   93420	      1278 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   95366	      1279 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100-10        	   94417	      1280 ns/op	   16384 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10545 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10546 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10701 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10626 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10571 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	   10000	     10570 ns/op	  147456 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1339	     86812 ns/op	 1441794 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1341	     74941 ns/op	 1441794 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1647	     72074 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1639	     72025 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1671	     72156 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	    1651	     72033 ns/op	 1441793 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     172	    671605 ns/op	14401537 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     181	    666054 ns/op	14401537 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     180	    657582 ns/op	14401537 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     182	    663548 ns/op	14401566 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     182	    656341 ns/op	14401539 B/op	       1 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     182	    658141 ns/op	14401537 B/op	       1 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	3.684s
